City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,paka,4.6374,103.4368,30.96,66,40,3.6,MY,1704173030
171,san andres,12.5847,-81.7006,28.01,74,20,4.12,CO,1704172805
172,grand falls-windsor,48.9332,-55.6649,-9.16,82,5,0.45,CA,1704173033
173,la passe,45.5549,-0.8967,10.13,77,100,6.92,FR,1704173033
174,san patricio,28.017,-97.5169,13.92,68,100,3.31,US,1704173034
175,mount gambier,-37.8333,140.7667,25.76,55,76,5.83,AU,1704173035
176,selfoss,63.9331,-20.9971,3.36,92,99,3.64,IS,1704173036
177,kone,-21.0595,164.8658,30.83,54,62,1.96,NC,1704173037
178,prado,-17.3411,-39.2208,23.9,91,100,1.4,BR,1704173038
179,lautoka,-17.6167,177.4667,29.92,66,40,7.2,FJ,1704173039
180,gadzhiyevo,69.2551,33.3362,-19.06,89,77,8.2,RU,1704173040
181,pindushi,62.9152,34.58,-16.89,96,100,2.68,RU,1704173041
182,ust-nera,64.5667,143.2,-43.27,98,72,1.75,RU,1704173042
183,mount isa,-20.7333,139.5,40.87,18,40,4.12,AU,1704173043
184,targu carbunesti,44.95,23.5167,5.96,64,100,2.37,RO,1704173044
185,udachny,66.4167,112.4,-30.55,99,99,2.41,RU,1704172969
186,mount pearl,47.5166,-52.7813,-4.75,89,100,4.12,CA,1704173046
187,hermanus,-34.4187,19.2345,21.0,85,6,5.14,ZA,1704173048
188,maxixe,-23.8597,35.3472,24.57,86,100,7.11,MZ,1704173049
189,nabire,-3.3667,135.4833,29.68,72,72,2.04,ID,1704172764
190,hoemul-li,41.4339,129.67,2.76,71,57,2.02,KP,1704172826
191,vanino,49.0869,140.2543,-10.04,64,99,1.72,RU,1704173052
192,chos malal,-37.3781,-70.2709,19.13,30,31,2.22,AR,1704173053
193,polyarnyy,69.1989,33.4478,-19.28,91,74,7.34,RU,1704172808
194,portland,45.5234,-122.6762,7.24,80,100,5.36,US,1704172290
195,east london,-33.0153,27.9116,19.52,94,100,4.63,ZA,1704173055
196,cill airne,52.05,-9.5167,9.28,97,100,1.21,IE,1704173056
197,vorgashor,67.5833,63.95,-33.33,100,17,1.18,RU,1704173057
198,ad darb,17.7229,42.2526,25.04,73,1,0.41,SA,1704173058
199,kununurra,-15.7667,128.7333,37.99,44,71,3.09,AU,1704173059
200,coahuayana de hidalgo,18.7,-103.6583,22.34,76,100,1.69,MX,1704173060
201,karratha,-20.7377,116.8463,34.88,37,0,9.59,AU,1704173061
202,inarajan village,13.2736,144.7484,30.55,86,45,5.95,GU,1704173062
203,faisalabad,31.4167,73.0833,17.36,28,0,1.56,PK,1704173063
204,aransas pass,27.9095,-97.15,14.0,76,40,7.2,US,1704173064
205,luderitz,-26.6481,15.1594,18.51,91,26,1.61,NA,1704173065
206,bredasdorp,-34.5322,20.0403,19.73,87,35,4.03,ZA,1704173066
207,bathsheba,13.2167,-59.5167,26.34,83,20,6.17,BB,1704173067
208,levuka,50.1834,-105.4011,-6.16,85,6,3.45,CA,1704173068
209,sovetskaya gavan',48.9723,140.2878,-9.94,62,96,2.3,RU,1704173069
210,richards bay,-28.783,32.0377,22.53,84,68,2.92,ZA,1704173070
211,san luis de la loma,17.2706,-100.8939,23.63,66,3,2.65,MX,1704173071
212,kruisfontein,-34.0033,24.7314,19.94,87,20,4.56,ZA,1704173072
213,port lincoln,-34.7333,135.8667,22.39,61,60,4.84,AU,1704173073
214,celina,40.5489,-84.5702,1.17,81,91,2.59,US,1704172946
